estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
159,301,8,"(1000000, 271)","(8, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
160,301,8,"(1000000, 271)","(8, 2)",33875000,1.416027778099711,4.8233517065362665,Compute
161,301,8,"(1000000, 271)","(8, 4)",33875000,1.416027778099711,4.8233517065362665,Compute
162,301,8,"(1000000, 271)","(8, 8)",33875000,1.416027778099711,4.8233517065362665,Compute
163,301,8,"(1000000, 271)","(8, 16)",33875000,1.416027778099711,4.8233517065362665,Compute
164,301,8,"(1000000, 271)","(8, 32)",33875000,1.416027778099711,4.8233517065362665,Compute
165,301,8,"(1000000, 271)","(16, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
166,301,8,"(1000000, 271)","(16, 2)",33875000,1.416027778099711,4.8233517065362665,Compute
167,301,8,"(1000000, 271)","(16, 4)",33875000,1.416027778099711,4.8233517065362665,Compute
168,301,8,"(1000000, 271)","(16, 8)",33875000,1.416027778099711,4.8233517065362665,Compute
169,301,8,"(1000000, 271)","(16, 16)",33875000,1.4160408183672317,4.823307288468804,Compute
170,301,8,"(1000000, 271)","(32, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
171,301,8,"(1000000, 271)","(32, 2)",33875000,1.416027778099711,4.8233517065362665,Compute
172,301,8,"(1000000, 271)","(32, 4)",33875000,1.416027778099711,4.8233517065362665,Compute
173,301,8,"(1000000, 271)","(32, 8)",33875000,1.4160408183672317,4.823307288468804,Compute
174,301,8,"(1000000, 271)","(64, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
175,301,8,"(1000000, 271)","(64, 2)",33875000,1.416027778099711,4.8233517065362665,Compute
176,301,8,"(1000000, 271)","(64, 4)",33875000,1.416027778099711,4.8233517065362665,Compute
177,301,8,"(1000000, 271)","(128, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
178,301,8,"(1000000, 271)","(128, 2)",33875000,1.416027778099711,4.8233517065362665,Compute
179,301,8,"(1000000, 271)","(256, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
